scenario,pair,threshold,method,num_patches,reuse_count,reuse_ratio,false_reuse_count,false_reuse_rate,oracle_available_ratio,original_valid_same_grid_ratio,action_rel_l2,reused_key_cosine,estimated_saving
translate_xy,1,0.97,mc_kv_rope,64,11,0.171875,0,0.0,0.171875,0.0,0.00945751501625946,0.9936385443470609,0.14322916666666666
translate_xy,2,0.94,original_grid,64,38,0.59375,38,1.0,0.171875,0.0,0.008356231892362388,0.9996536055363563,0.4947916666666667
translate_xy,2,0.94,mc_token,64,11,0.171875,0,0.0,0.171875,0.0,0.0023251075225834117,0.991645861476407,0.0171875
translate_xy,2,0.94,mc_kv_no_rope,64,11,0.171875,0,0.0,0.171875,0.0,0.0025639126575004723,0.5626243002336525,0.14322916666666666
translate_xy,2,0.94,mc_kv_rope,64,11,0.171875,0,0.0,0.171875,0.0,0.0023250997799194183,0.9916458610850128,0.14322916666666666
translate_xy,2,0.97,original_grid,64,0,0.0,0,0.0,0.171875,0.0,0.0,nan,0.0
translate_xy,2,0.97,mc_token,64,11,0.171875,0,0.0,0.171875,0.0,0.0023251075225834117,0.991645861476407,0.0171875
translate_xy,2,0.97,mc_kv_no_rope,64,11,0.171875,0,0.0,0.171875,0.0,0.0025639126575004723,0.5626243002336525,0.14322916666666666
translate_xy,2,0.97,mc_kv_rope,64,11,0.171875,0,0.0,0.171875,0.0,0.0023250997799194183,0.9916458610850128,0.14322916666666666
translate_xy,3,0.94,original_grid,64,43,0.671875,43,1.0,0.125,0.0,0.004193438051092872,0.9997176676227169,0.5598958333333334
translate_xy,3,0.94,mc_token,64,8,0.125,0,0.0,0.125,0.0,0.002125169999865878,0.9976378328958486,0.0125
translate_xy,3,0.94,mc_kv_no_rope,64,8,0.125,0,0.0,0.125,0.0,0.0023890845631686945,0.4125870619098498,0.10416666666666667
translate_xy,3,0.94,mc_kv_rope,64,8,0.125,0,0.0,0.125,0.0,0.002125169999865878,0.9976378329984918,0.10416666666666667
translate_xy,3,0.97,original_grid,64,0,0.0,0,0.0,0.125,0.0,0.0,nan,0.0
translate_xy,3,0.97,mc_token,64,8,0.125,0,0.0,0.125,0.0,0.002125169999865878,0.9976378328958486,0.0125
translate_xy,3,0.97,mc_kv_no_rope,64,8,0.125,0,0.0,0.125,0.0,0.0023890845631686945,0.4125870619098498,0.10416666666666667
translate_xy,3,0.97,mc_kv_rope,64,8,0.125,0,0.0,0.125,0.0,0.002125169999865878,0.9976378329984918,0.10416666666666667
translate_xy,4,0.94,original_grid,64,47,0.734375,47,1.0,0.140625,0.0,0.0019572873094568827,0.9996573272086288,0.6119791666666666
translate_xy,4,0.94,mc_token,64,9,0.140625,0,0.0,0.140625,0.0,0.0072984605760575165,0.9964231679923629,0.0140625
translate_xy,4,0.94,mc_kv_no_rope,64,9,0.140625,0,0.0,0.140625,0.0,0.007404202148033084,0.4758187174176488,0.1171875
translate_xy,4,0.94,mc_kv_rope,64,9,0.140625,0,0.0,0.140625,0.0,0.0072984605760575165,0.9964231680559944,0.1171875
translate_xy,4,0.97,original_grid,64,0,0.0,0,0.0,0.140625,0.0,0.0,nan,0.0
translate_xy,4,0.97,mc_token,64,9,0.140625,0,0.0,0.140625,0.0,0.0072984605760575165,0.9964231679923629,0.0140625
translate_xy,4,0.97,mc_kv_no_rope,64,9,0.140625,0,0.0,0.140625,0.0,0.007404202148033084,0.4758187174176488,0.1171875
translate_xy,4,0.97,mc_kv_rope,64,9,0.140625,0,0.0,0.140625,0.0,0.0072984605760575165,0.9964231680559944,0.1171875
